Правила футбола;1863;Images/RulesPlayers.jpg;Футбол регулируется правилами установленными Футбольной ассоциацией Англии с 1863 года они обеспечивают порядок и зрелищность игры каждая команда состоит из 11 игроков включая вратаря разрешено до 5 замен за матч правило введено FIFA в 2020 году из-за пандемии COVID-19 замены стали стандартом с 1970-х ускоряя игру и снижая нагрузку на игроков поле имеет длину 90–120 метров и ширину 45–90 метров ворота 7,32 метра в ширину и 2,44 метра в высоту эти стандарты принятые в 1863 году поддерживают баланс между атакой и обороной мяч имеет окружность 68–70 сантиметров стандарт с 1872 года современные мячи такие как Adidas Telstar улучшают аэродинамику помогая игрокам контролировать мяч матч длится 90 минут два тайма по 45 минут плюс добавленное время формат закреплен в 1866 году добавленное время стало стандартом позже игрок не должен быть ближе к воротам соперника чем мяч и предпоследний защитник при активном участии в игре правило смягчено в 1925 году с трех до двух защитников с 2022 года полуавтоматическая система на чемпионате мира повышает точность определения офсайда нарушения удары толчки подкаты наказываются штрафным ударом пенальти или карточками желтая предупреждение красная удаление карточки введены в 1970 году штрафные и угловые назначаются за нарушения или выход мяча за линию ворот или боковую линию установлены в 1863 году являются ключевым элементом тактики запрещено снимать футболку провоцировать соперников или использовать реквизит это желтая карточка правило введено в 2004 году для сокращения задержек вратарь может держать мяч руками в штрафной зоне не более 6 секунд запрещено принимать мяч руками от партнера правило с 1992 года чтобы исключить затягивание времени эти правила создают единообразие и поддерживают динамику игры
Чжу-КЭ в Китае;200 до н.э.;Images/History1.jpg;Футбол зародился в Китае около 200 года до н.э. под названием Цу-Чу, что переводится как "толкать ногой". Игроки использовали кожаный мяч, набитый перьями или волосом, и пытались забить его в сетку, подвешенную на бамбуковых шестах высотой около 9 метров. Цу-Чу была частью военных тренировок для улучшения физической подготовки солдат династии Хань. Первые упоминания об игре найдены в исторических текстах "Чжаньго це" (III век до н.э.). Позже игра стала популярной среди населения, и даже императоры устраивали турниры. В 2011 году ФИФА официально признала Цу-Чу древнейшей формой футбола. Археологические находки, включая мячи из кожи, были обнаружены в гробницах династии Хань, что подтверждает древность игры.
Эпискирос в Греции;300 до н.э.;Images/History2.jpg;В Древней Греции около 300 года до н.э. появилась игра Эпискирос, которую играли две команды по 12–14 человек на прямоугольном поле с центральной линией. Игроки могли использовать как руки, так и ноги, чтобы перекинуть мяч через линию соперника. Мяч был сделан из бычьего пузыря, надутого воздухом, и часто обёрнут тканью. Эпискирос был частью физического воспитания в гимнасиях и часто сопровождался музыкой. Игра была настолько популярной, что её изображения можно найти на древнегреческих вазах, например, на амфоре V века до н.э. в музее Афин. Эпискирос повлиял на римскую игру Гарпастум, а через неё — на развитие футбола в Европе.
Гарпастум в Риме;100 до н.э.;Images/History3.jpg;Римляне адаптировали Эпискирос в игру Гарпастум около 100 года до н.э. Гарпастум был более жёстким: мяч (гарпаст) был меньше, сделан из кожи и набит песком, а игроки боролись за него, используя захваты и удары. Поле делилось на две зоны, и цель состояла в том, чтобы удерживать мяч на своей стороне как можно дольше. Гарпастум был популярен среди римских легионеров, которые распространили игру по всей империи, включая Британию. Историк Тацит упоминал Гарпастум в своих трудах, описывая, как солдаты играли в неё во время отдыха. Археологи нашли изображения Гарпастума на римских мозаиках, например, в Помпеях.
Кемпо в Японии;VII век;Images/History4.jpg;В Японии в VII веке появилась игра Кемпо (или Кемари), которая считается одной из древних форм футбола. Аристократы играли на круглой площадке, стараясь удерживать мяч в воздухе, ударяя его ногами, без агрессии и соперничества. Мяч (мари) был сделан из оленьей кожи и набит опилками. Кемпо проводился во время церемоний при дворе императора, особенно в Киото, и сопровождался ритуалами. Правила игры сохранились до наших дней: ежегодно в храме Симогамо в Киото проводятся показательные матчи Кемпо, где участники носят традиционные костюмы VIII века. Игра также упоминается в японской хронике "Нихон Сёки".
Моб Футбол в Европе;XII век;Images/History5.jpg;В Средневековой Европе, начиная с XII века, особенно в Англии, играли в Моб Футбол. Это была хаотичная игра между деревнями, где сотни людей пытались перетащить свиной пузырь (мяч) через линию соперника, часто на расстояние в несколько километров. Правила практически отсутствовали: разрешались удары, захваты и даже драки. Игры проводились во время праздников, таких как Масленица, и часто приводили к травмам и разрушениям. В 1314 году король Эдуард II издал указ, запрещающий Моб Футбол в Лондоне из-за "шума и беспорядков". Историки нашли записи о матчах, где участвовало до 500 человек, например, в деревне Атерстон в 1175 году.
Запрет футбола в Англии;XIV век;Images/History6.jpg;В XIV веке футбол в Англии вызывал столько беспорядков, что короли начали его запрещать. В 1314 году Эдуард II издал указ, запрещающий игру в городах, а в 1349 году Эдуард III запретил футбол по всей стране, утверждая, что он отвлекает людей от тренировок по стрельбе из лука, важных для войны. В 1365 году Эдуард III усилил запрет, введя штрафы за участие в играх. Однако игра продолжала существовать. В 1526 году король Генрих VIII заказал первую пару футбольных бутс, сделанных из кожи, что стало символом растущей популярности игры среди знати.
Историки отмечают, что Генрих VIII сам играл в футбол, несмотря на запреты.
Кембриджские правила;1848;Images/History7.jpg;Современный футбол начал формироваться в Англии в XIX веке. В 1848 году студенты Кембриджского университета разработали "Кембриджские правила", которые стали важным шагом в стандартизации игры. Правила запрещали использование рук (кроме вратаря), определили размеры поля (примерно 120 ярдов в длину) и ворот (7 ярдов в ширину), а также ввели понятие "аут". Встреча, на которой были приняты эти правила, прошла в колледже Тринити, и её текст сохранился в архивах университета. Кембриджские правила легли в основу правил Футбольной ассоциации 1863 года. Они также впервые ввели понятие "форварда" и "защитника".
Создание FA;1863;Images/History8.jpg;26 октября 1863 года в лондонской таверне "Фримейсон" представители 11 клубов основали Футбольную ассоциацию Англии (FA). На встрече были приняты 13 правил, которые окончательно отделили футбол от регби: был запрещён "хаккинг" (удары по ногам), установлен стандартный размер мяча (окружность 27–28 дюймов), и определено количество игроков — 11 в каждой команде. Эбенезер Кобб Морли, первый секретарь FA, считается "отцом футбола". Первая официальная игра по этим правилам прошла 19 декабря 1863 года между клубами "Барнс" и "Ричмонд". Создание FA стало ключевым моментом в истории футбола, а первые правила до сих пор хранятся в музее FA.
